# A, B, C, D, E
2.582,2.435,1.093,-2.535,-3.077
2.220,2.653,0.590,-2.349,-3.010
2.310,2.327,0.875,-2.324,-2.978
2.392,2.262,1.080,-2.530,-2.823
2.558,2.386,0.571,-2.100,-2.845
2.566,2.542,1.172,-2.805,-2.918
2.679,2.335,1.332,-2.582,-3.178
2.346,2.757,0.798,-2.541,-2.946
2.510,2.593,1.164,-2.568,-3.248
2.573,2.286,1.130,-2.440,-2.707
2.389,2.304,0.898,-2.235,-2.769
2.443,2.282,1.180,-2.434,-3.010
2.876,2.558,1.017,-2.518,-3.050
2.566,2.363,0.814,-2.205,-2.868
2.814,2.569,1.107,-2.575,-3.058
2.463,2.511,0.782,-2.221,-2.706
2.545,2.675,1.172,-2.843,-2.685
2.574,2.783,1.202,-2.835,-2.939
2.333,1.987,0.877,-1.869,-2.890
2.589,2.407,1.647,-2.806,-3.078
2.600,2.568,1.050,-2.429,-3.006
2.831,2.715,0.983,-2.388,-3.125
2.412,2.328,1.217,-2.357,-2.863
2.616,2.817,0.843,-2.428,-2.868
2.455,2.735,0.938,-2.164,-3.070
2.837,2.715,0.984,-2.416,-2.799
2.165,2.634,1.040,-2.526,-2.933
2.464,2.422,1.550,-2.609,-2.860
2.541,2.822,0.775,-2.295,-3.141
2.236,2.510,1.180,-2.252,-3.116
2.269,2.626,1.161,-2.400,-3.177
3.079,2.315,1.602,-2.596,-2.993
2.566,2.213,1.577,-2.372,-2.983
2.730,2.781,1.007,-2.404,-2.739
2.385,2.803,1.047,-2.472,-2.954
2.740,2.685,1.034,-2.353,-2.886
2.205,2.810,1.414,-2.724,-2.773
2.829,2.601,1.416,-2.546,-3.220
2.530,2.657,1.148,-2.200,-3.199
2.395,2.394,1.790,-2.652,-3.098
2.373,2.470,1.176,-2.169,-2.812
2.350,2.831,1.187,-2.605,-2.823
2.424,2.580,1.492,-2.445,-3.176
2.815,2.595,1.386,-2.299,-3.252
2.588,2.870,1.225,-2.587,-2.791
2.890,2.629,1.270,-2.302,-3.000
2.466,2.521,1.837,-2.692,-3.088
2.563,2.404,1.662,-2.552,-2.852
2.633,2.601,1.492,-2.407,-2.921
2.378,2.897,1.323,-2.520,-2.845
2.509,2.582,1.463,-2.305,-3.076
2.503,2.640,1.022,-2.052,-2.945
2.524,2.960,1.137,-2.296,-3.065
2.601,2.601,1.623,-2.479,-2.988
2.335,2.782,1.469,-2.505,-2.856
2.490,2.550,1.668,-2.475,-3.059
2.791,2.256,1.699,-2.276,-2.785
2.555,2.385,2.042,-2.597,-2.957
2.398,2.614,1.675,-2.552,-2.960
2.558,2.430,1.521,-2.153,-2.939
2.570,2.654,1.641,-2.582,-2.812
2.248,2.037,1.661,-2.124,-2.583
3.020,2.644,1.436,-2.308,-2.861
2.253,2.617,1.409,-2.245,-2.856
2.503,2.622,1.242,-1.984,-3.028
2.497,2.629,1.603,-2.278,-2.921
2.420,3.157,0.904,-2.078,-3.014
2.304,2.521,1.598,-2.370,-2.668
2.690,2.905,1.322,-2.368,-2.652
2.514,2.997,1.328,-2.462,-2.763
2.744,2.422,1.161,-1.783,-2.774
2.576,3.047,1.504,-2.502,-3.052
2.762,2.257,2.008,-2.300,-3.066
2.687,2.267,2.095,-2.400,-3.031
2.166,2.551,1.446,-2.116,-2.757
2.628,2.530,1.734,-2.271,-3.084
2.415,2.532,1.641,-2.242,-2.921
2.353,2.636,1.762,-2.393,-2.970
2.654,2.592,1.319,-1.890,-3.101
2.768,2.655,1.641,-2.198,-3.110
2.412,2.533,1.833,-2.416,-2.809
2.535,3.315,1.375,-2.472,-2.831
2.466,2.773,1.752,-2.366,-3.026
2.714,2.497,1.721,-2.109,-2.789
2.480,2.593,2.101,-2.557,-2.939
2.339,2.809,1.533,-2.071,-3.178
2.512,2.495,1.716,-2.132,-2.861
2.328,2.609,1.766,-2.228,-2.854
